controller,gait,speed,period,step_width,command_df,achieved_df_median,achieved_df_q025,achieved_df_q975,compliance_rate,trials
adaptive_seed3,trot,0.4,0.48,0.5,0.6,0.625,0.625,0.625,1.0,32
adaptive_seed3,trot,0.4,0.48,0.5,0.65,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,32
adaptive_seed3,trot,0.4,0.48,0.5,0.7,0.7083333333333334,0.7083333333333334,0.7083333333333334,1.0,32
adaptive_seed3,trot,0.4,0.48,0.5,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,walk,0.25,0.48,0.1,0.5,0.6171875,0.6119791666666667,0.6177734375,0.0,32
adaptive_seed3,walk,0.25,0.48,0.1,0.55,0.6536458333333334,0.6510416666666667,0.65625,0.0,32
adaptive_seed3,walk,0.25,0.48,0.1,0.6,0.6770833333333333,0.6770833333333333,0.6770833333333333,0.0,32
adaptive_seed3,walk,0.25,0.48,0.1,0.65,0.6875,0.6875,0.6875,0.0,32
adaptive_seed3,walk,0.25,0.48,0.1,0.7,0.71875,0.71875,0.71875,0.0,32
adaptive_seed3,walk,0.25,0.48,0.1,0.75,0.7604166666666666,0.7604166666666666,0.7604166666666666,0.0,32
adaptive_seed3,walk,0.25,0.48,0.2,0.5,0.609375,0.609375,0.6119791666666667,0.0,32
adaptive_seed3,walk,0.25,0.48,0.2,0.55,0.6354166666666667,0.6354166666666667,0.6354166666666667,0.0,32
adaptive_seed3,walk,0.25,0.48,0.2,0.6,0.6770833333333333,0.6770833333333333,0.6770833333333333,0.0,32
adaptive_seed3,walk,0.25,0.48,0.2,0.65,0.6875,0.6875,0.6875,0.0,32
adaptive_seed3,walk,0.25,0.48,0.2,0.7,0.71875,0.71875,0.71875,0.0,32
adaptive_seed3,walk,0.25,0.48,0.2,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,walk,0.25,0.48,0.3,0.5,0.6067708333333334,0.6041666666666667,0.609375,0.0,32
adaptive_seed3,walk,0.25,0.48,0.3,0.55,0.6354166666666667,0.6354166666666667,0.6354166666666667,0.0,32
adaptive_seed3,walk,0.25,0.48,0.3,0.6,0.6770833333333333,0.6770833333333333,0.6770833333333333,0.0,32
adaptive_seed3,walk,0.25,0.48,0.3,0.65,0.6875,0.6875,0.6875,0.0,32
adaptive_seed3,walk,0.25,0.48,0.3,0.7,0.71875,0.71875,0.71875,0.0,32
adaptive_seed3,walk,0.25,0.48,0.3,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,walk,0.25,0.48,0.4,0.5,0.5989583333333334,0.5957682291666667,0.6015625,0.0,32
adaptive_seed3,walk,0.25,0.48,0.4,0.55,0.6354166666666667,0.6354166666666667,0.6354166666666667,0.0,32
adaptive_seed3,walk,0.25,0.48,0.4,0.6,0.6666666666666666,0.6660807291666666,0.6666666666666666,0.0,32
adaptive_seed3,walk,0.25,0.48,0.4,0.65,0.6875,0.6875,0.6875,0.0,32
adaptive_seed3,walk,0.25,0.48,0.4,0.7,0.71875,0.71875,0.71875,0.0,32
adaptive_seed3,walk,0.25,0.48,0.4,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,walk,0.25,0.48,0.5,0.5,0.6015625,0.5989583333333334,0.6041666666666667,0.0,32
adaptive_seed3,walk,0.25,0.48,0.5,0.55,0.6276041666666667,0.625,0.6354166666666667,0.0,32
adaptive_seed3,walk,0.25,0.48,0.5,0.6,0.65625,0.65625,0.65625,0.0,32
adaptive_seed3,walk,0.25,0.48,0.5,0.65,0.6875,0.6875,0.6875,0.0,32
adaptive_seed3,walk,0.25,0.48,0.5,0.7,0.71875,0.71875,0.71875,0.0,32
adaptive_seed3,walk,0.25,0.48,0.5,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,walk,0.3,0.48,0.1,0.5,0.6041666666666667,0.6041666666666667,0.6041666666666667,0.0,32
adaptive_seed3,walk,0.3,0.48,0.1,0.55,0.6458333333333334,0.6426432291666667,0.6458333333333334,0.0,32
adaptive_seed3,walk,0.3,0.48,0.1,0.6,0.6770833333333333,0.6770833333333333,0.6770833333333333,0.0,32
adaptive_seed3,walk,0.3,0.48,0.1,0.65,0.6875,0.6875,0.6875,0.0,32
adaptive_seed3,walk,0.3,0.48,0.1,0.7,0.71875,0.71875,0.71875,0.0,32
adaptive_seed3,walk,0.3,0.48,0.1,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,walk,0.3,0.48,0.2,0.5,0.6041666666666667,0.6041666666666667,0.6041666666666667,0.0,32
adaptive_seed3,walk,0.3,0.48,0.2,0.55,0.6354166666666667,0.6354166666666667,0.6354166666666667,0.0,32
adaptive_seed3,walk,0.3,0.48,0.2,0.6,0.6770833333333333,0.6770833333333333,0.6770833333333333,0.0,32
adaptive_seed3,walk,0.3,0.48,0.2,0.65,0.6875,0.6875,0.6875,0.0,32
adaptive_seed3,walk,0.3,0.48,0.2,0.7,0.71875,0.71875,0.71875,0.0,32
adaptive_seed3,walk,0.3,0.48,0.2,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,walk,0.3,0.48,0.3,0.5,0.6041666666666667,0.6041666666666667,0.6041666666666667,0.0,32
adaptive_seed3,walk,0.3,0.48,0.3,0.55,0.6354166666666667,0.6354166666666667,0.6354166666666667,0.0,32
adaptive_seed3,walk,0.3,0.48,0.3,0.6,0.671875,0.6712890625,0.6744791666666666,0.0,32
adaptive_seed3,walk,0.3,0.48,0.3,0.65,0.6875,0.6875,0.6875,0.0,32
adaptive_seed3,walk,0.3,0.48,0.3,0.7,0.71875,0.71875,0.71875,0.0,32
adaptive_seed3,walk,0.3,0.48,0.3,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,walk,0.3,0.48,0.4,0.5,0.59375,0.59375,0.59375,0.0,32
adaptive_seed3,walk,0.3,0.48,0.4,0.55,0.6354166666666667,0.6354166666666667,0.6354166666666667,0.0,32
adaptive_seed3,walk,0.3,0.48,0.4,0.6,0.6614583333333333,0.65625,0.6614583333333333,0.0,32
adaptive_seed3,walk,0.3,0.48,0.4,0.65,0.6875,0.6875,0.6875,0.0,32
adaptive_seed3,walk,0.3,0.48,0.4,0.7,0.71875,0.71875,0.71875,0.0,32
adaptive_seed3,walk,0.3,0.48,0.4,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,walk,0.3,0.48,0.5,0.5,0.59375,0.5905598958333333,0.59375,0.0,32
adaptive_seed3,walk,0.3,0.48,0.5,0.55,0.6263020833333334,0.625,0.6302083333333334,0.0,32
adaptive_seed3,walk,0.3,0.48,0.5,0.6,0.65625,0.65625,0.65625,0.0,32
adaptive_seed3,walk,0.3,0.48,0.5,0.65,0.6875,0.6875,0.6875,0.0,32
adaptive_seed3,walk,0.3,0.48,0.5,0.7,0.71875,0.71875,0.71875,0.0,32
adaptive_seed3,walk,0.3,0.48,0.5,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,walk,0.35,0.48,0.1,0.5,0.6041666666666667,0.6041666666666667,0.6041666666666667,0.0,32
adaptive_seed3,walk,0.35,0.48,0.1,0.55,0.6354166666666667,0.6354166666666667,0.6354166666666667,0.0,32
adaptive_seed3,walk,0.35,0.48,0.1,0.6,0.6770833333333333,0.6770833333333333,0.6770833333333333,0.0,32
adaptive_seed3,walk,0.35,0.48,0.1,0.65,0.6875,0.6875,0.6875,0.0,32
adaptive_seed3,walk,0.35,0.48,0.1,0.7,0.71875,0.71875,0.71875,0.0,32
adaptive_seed3,walk,0.35,0.48,0.1,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,walk,0.35,0.48,0.2,0.5,0.6041666666666667,0.6041666666666667,0.6041666666666667,0.0,32
adaptive_seed3,walk,0.35,0.48,0.2,0.55,0.6354166666666667,0.6354166666666667,0.6354166666666667,0.0,32
adaptive_seed3,walk,0.35,0.48,0.2,0.6,0.671875,0.6692708333333333,0.6744791666666666,0.0,32
adaptive_seed3,walk,0.35,0.48,0.2,0.65,0.6875,0.6875,0.6875,0.0,32
adaptive_seed3,walk,0.35,0.48,0.2,0.7,0.71875,0.71875,0.71875,0.0,32
adaptive_seed3,walk,0.35,0.48,0.2,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,walk,0.35,0.48,0.3,0.5,0.6041666666666667,0.6041666666666667,0.6041666666666667,0.0,32
adaptive_seed3,walk,0.35,0.48,0.3,0.55,0.6354166666666667,0.6354166666666667,0.6354166666666667,0.0,32
adaptive_seed3,walk,0.35,0.48,0.3,0.6,0.65625,0.6536458333333334,0.65625,0.0,32
adaptive_seed3,walk,0.35,0.48,0.3,0.65,0.6875,0.6875,0.6875,0.0,32
adaptive_seed3,walk,0.35,0.48,0.3,0.7,0.71875,0.71875,0.71875,0.0,32
adaptive_seed3,walk,0.35,0.48,0.3,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,walk,0.35,0.48,0.4,0.5,0.59375,0.59375,0.59375,0.0,32
adaptive_seed3,walk,0.35,0.48,0.4,0.55,0.6354166666666667,0.6354166666666667,0.6354166666666667,0.0,32
adaptive_seed3,walk,0.35,0.48,0.4,0.6,0.6458333333333334,0.6458333333333334,0.6510416666666666,0.0,32
adaptive_seed3,walk,0.35,0.48,0.4,0.65,0.6875,0.6875,0.6875,0.0,32
adaptive_seed3,walk,0.35,0.48,0.4,0.7,0.71875,0.71875,0.71875,0.0,32
adaptive_seed3,walk,0.35,0.48,0.4,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,walk,0.35,0.48,0.5,0.5,0.5885416666666666,0.5885416666666666,0.5891276041666667,0.0,32
adaptive_seed3,walk,0.35,0.48,0.5,0.55,0.625,0.625,0.625,0.0,32
adaptive_seed3,walk,0.35,0.48,0.5,0.6,0.65625,0.65625,0.65625,0.0,32
