gait,speed,period,step_width,command_df,trials,valid_energy_trials,energy_valid_rate,energy_condition_valid,positive_mechanical_cot_median,periodic_rate,compliance_rate,achieved_df_mean,out_of_training_support
walk,0.3,0.48,0.3,0.5,32,0,0.0,0,,1.0,0.0,0.6666666666666666,1
walk,0.3,0.48,0.3,0.625,32,0,0.0,0,,1.0,0.0,0.6979166666666667,1
walk,0.3,0.48,0.3,0.75,32,32,1.0,1,0.3674834243362672,1.0,1.0,0.75,0
walk,0.3,0.48,0.4,0.5,32,0,0.0,0,,0.0,0.0,0.6615397135416666,1
walk,0.3,0.48,0.4,0.625,32,0,0.0,0,,1.0,0.0,0.6979166666666667,1
walk,0.3,0.48,0.4,0.75,32,32,1.0,1,0.438788208052051,1.0,1.0,0.75,0
walk,0.3,0.48,0.5,0.5,32,0,0.0,0,,0.84375,0.0,0.6770833333333334,1
walk,0.3,0.48,0.5,0.625,32,0,0.0,0,,0.5625,0.0,0.6832682291666666,1
walk,0.3,0.48,0.5,0.75,32,32,1.0,1,0.4770407587167551,1.0,1.0,0.75,0
walk,0.35,0.48,0.1,0.5,32,0,0.0,0,,0.125,0.0,0.6459147135416666,1
walk,0.35,0.48,0.1,0.625,32,0,0.0,0,,0.0,0.0,0.7239583333333334,1
walk,0.35,0.48,0.1,0.75,32,32,1.0,1,0.3086426648485818,1.0,1.0,0.75,0
walk,0.35,0.48,0.2,0.5,32,0,0.0,0,,0.0,0.0,0.6604817708333333,1
walk,0.35,0.48,0.2,0.625,32,0,0.0,0,,1.0,0.0,0.7045084635416667,1
walk,0.35,0.48,0.2,0.75,32,32,1.0,1,0.3205577167057937,1.0,1.0,0.75,0
walk,0.35,0.48,0.3,0.5,32,0,0.0,0,,0.09375,0.0,0.6533203125,1
walk,0.35,0.48,0.3,0.625,32,0,0.0,0,,1.0,0.0,0.6875,1
walk,0.35,0.48,0.3,0.75,32,32,1.0,1,0.35041173791874713,1.0,1.0,0.75,0
walk,0.35,0.48,0.4,0.5,32,0,0.0,0,,0.0625,0.0,0.6575520833333333,1
walk,0.35,0.48,0.4,0.625,32,0,0.0,0,,0.6875,0.0,0.6852213541666667,1
walk,0.35,0.48,0.4,0.75,32,32,1.0,1,0.40299076318564075,1.0,1.0,0.75,0
walk,0.35,0.48,0.5,0.5,32,0,0.0,0,,0.03125,0.0,0.6724446614583333,1
walk,0.35,0.48,0.5,0.625,32,0,0.0,0,,0.46875,0.0,0.6770833333333334,1
walk,0.35,0.48,0.5,0.75,32,32,1.0,1,0.4395290646722645,1.0,1.0,0.75,0
walk,0.4,0.48,0.1,0.5,32,0,0.0,0,,0.125,0.0,0.6463216145833334,1
walk,0.4,0.48,0.1,0.625,32,0,0.0,0,,0.96875,0.0,0.7083333333333334,1
walk,0.4,0.48,0.1,0.75,32,32,1.0,1,0.2962452849127123,1.0,1.0,0.75,0
walk,0.4,0.48,0.2,0.5,32,0,0.0,0,,0.0,0.0,0.658447265625,1
walk,0.4,0.48,0.2,0.625,32,0,0.0,0,,1.0,0.0,0.6930338541666667,1
walk,0.4,0.48,0.2,0.75,32,32,1.0,1,0.3105275337658543,1.0,1.0,0.75,0
walk,0.4,0.48,0.3,0.5,32,0,0.0,0,,0.0,0.0,0.6488444010416666,1
walk,0.4,0.48,0.3,0.625,32,0,0.0,0,,1.0,0.0,0.6875,1
walk,0.4,0.48,0.3,0.75,32,32,1.0,1,0.34387919551871055,1.0,1.0,0.75,0
walk,0.4,0.48,0.4,0.5,32,0,0.0,0,,0.75,0.0,0.6372884114583334,1
walk,0.4,0.48,0.4,0.625,32,0,0.0,0,,0.09375,0.0,0.6823730468750001,1
walk,0.4,0.48,0.4,0.75,32,32,1.0,1,0.3843836187286275,1.0,1.0,0.75,0
walk,0.4,0.48,0.5,0.5,32,0,0.0,0,,0.0625,0.0,0.661376953125,1
walk,0.4,0.48,0.5,0.625,32,0,0.0,0,,0.0,0.0,0.6658528645833333,1
walk,0.4,0.48,0.5,0.75,32,32,1.0,1,0.41673216188792084,1.0,1.0,0.75,0
